Timestamp,PWM_Left,PWM_Right,Serial_Data
1738026250.5484526,0,0,140.85 | 211.27
1738026250.5487046,0,0,140.85 | 211.27
1738026250.5489166,0,0,140.85 | 211.27
1738026250.549127,0,0,140.85 | 211.27
1738026250.5493376,0,0,140.85 | 211.27
1738026250.5495481,0,0,140.85 | 211.27
1738026250.549773,0,0,140.85 | 211.27
1738026250.5499856,0,0,140.85 | 211.27
1738026250.550197,0,0,140.85 | 211.27
1738026250.55041,0,0,140.85 | 211.27
1738026250.5506299,0,0,140.85 | 211.27
1738026250.5508423,0,0,140.85 | 211.27
1738026250.5510523,0,0,170.07 | 170.07
1738026250.5512617,0,0,170.07 | 170.07
1738026250.5514727,0,0,170.07 | 170.07
1738026250.5516922,0,0,170.07 | 170.07
1738026250.5519066,0,0,170.07 | 170.07
1738026250.5521183,0,0,170.07 | 170.07
1738026250.5523298,0,0,170.07 | 170.07
1738026250.5525422,0,0,170.07 | 170.07
1738026250.5527663,0,0,170.07 | 170.07
1738026250.552968,0,0,170.07 | 170.07
1738026250.5531685,0,0,170.07 | 170.07
1738026250.5533705,0,0,170.07 | 170.07
1738026250.5535731,0,0,170.07 | 170.07
1738026250.5537882,0,0,170.07 | 170.07
1738026250.553991,0,0,170.07 | 170.07
1738026250.5541947,0,0,170.07 | 170.07
1738026250.5543993,0,0,171.23 | 171.23
1738026250.5546079,0,0,171.23 | 171.23
1738026250.5548122,0,0,171.23 | 171.23
1738026250.5552335,0,0,171.23 | 171.23
1738026250.5555663,0,0,171.23 | 171.23
1738026250.5557535,0,0,171.23 | 171.23
1738026250.5559206,0,0,171.23 | 171.23
1738026250.556141,0,0,171.23 | 171.23
1738026250.5563087,0,0,171.23 | 171.23
1738026250.5564754,0,0,171.23 | 171.23
1738026250.556657,0,0,171.23 | 171.23
1738026250.5568247,0,0,171.23 | 171.23
1738026250.5570388,0,0,171.23 | 171.23
1738026250.557206,0,0,171.23 | 171.23
1738026250.5573719,0,0,171.23 | 171.23
1738026250.557537,0,0,171.23 | 171.23
1738026250.5577157,0,0,171.23 | 171.23
1738026250.5578835,0,0,171.23 | 171.23
1738026250.5580497,0,0,171.23 | 171.23
1738026250.5582163,0,0,171.23 | 171.23
1738026250.5583816,0,0,171.23 | 171.23
1738026250.5585468,0,0,171.23 | 171.23
1738026250.558727,0,0,171.23 | 171.23
1738026250.5589187,0,0,171.23 | 171.23
1738026250.5591073,0,0,171.23 | 171.23
1738026250.5592945,0,0,171.23 | 171.23
1738026250.5594823,0,0,171.23 | 171.23
1738026250.5596833,0,0,171.23 | 171.23
1738026250.5598722,0,0,171.23 | 171.23
1738026250.5600617,0,0,171.23 | 171.23
1738026250.5602498,0,0,171.23 | 171.23
1738026250.560437,0,0,171.23 | 171.23
1738026250.560636,0,0,171.23 | 171.23
1738026250.5608234,0,0,171.23 | 171.23
1738026250.5610123,0,0,161.29 | 161.29
1738026250.561201,0,0,161.29 | 161.29
1738026250.5614316,0,0,161.29 | 161.29
1738026250.5616653,0,0,161.29 | 161.29
1738026250.5618486,0,0,161.29 | 161.29
1738026250.5620306,0,0,161.29 | 161.29
1738026250.562212,0,0,161.29 | 161.29
1738026250.5623941,0,0,161.29 | 161.29
1738026250.5625756,0,0,161.29 | 161.29
1738026250.5627913,0,0,161.29 | 161.29
1738026250.5629735,0,0,161.29 | 161.29
