time,raw_x,raw_y,moving_avg_x,moving_avg_y,kalman_x,kalman_y
1726839651.5909877,658.4962768554688,-51.03253936767578,658.1626098632812,-50.69668045043945,657.4112587607967,-51.26092501476078
1726839651.6604633,658.7383422851562,-50.97890853881836,658.3819091796875,-50.85927505493164,657.7658210959148,-51.21414881569258
1726839651.6907282,658.3656616210938,-51.14780807495117,658.1478637695312,-50.94436187744141,657.9157602264573,-51.23376051276434
1726839651.7604613,657.84326171875,-50.329185485839844,658.2533325195312,-50.855787658691405,657.8283448558556,-50.88807151987051
1726839651.7908566,657.7423095703125,-50.166812896728516,658.2371704101563,-50.73105087280273,657.7367789993103,-50.56031100334004
1726839651.8266437,657.9303588867188,-48.93632125854492,658.1239868164063,-50.311807250976564,657.7645867885201,-49.806865216215336
1726839651.8924189,658.4124145507812,-49.6630744934082,658.0588012695313,-50.048640441894534,658.0031391325425,-49.5888359057932
1726839651.925838,659.276123046875,-48.995235443115234,658.2408935546875,-49.618125915527344,658.5511551929872,-49.18769011929779
1726839651.9924421,660.1048583984375,-48.623592376708984,658.693212890625,-49.277007293701175,659.296178415095,-48.77843502256785
1726839652.0259209,657.169189453125,-48.354312896728516,658.5785888671875,-48.91450729370117,658.564380901018,-48.41203361738486
1726839652.058384,657.8181762695312,-48.32749557495117,658.55615234375,-48.79274215698242,658.2694965562408,-48.183696509572044
1726839652.0905774,658.5916748046875,-48.72042465209961,658.5920043945313,-48.6042121887207,658.380053853052,-48.23469653696888
1726839652.1603525,658.662841796875,-49.0117073059082,658.4693481445313,-48.607506561279294,658.4965759286208,-48.43986617021461
1726839652.2282732,659.2958374023438,-48.1881217956543,658.3075439453125,-48.52041244506836,658.8503289617033,-48.269354685850324
1726839652.258327,658.8636474609375,-49.65739059448242,658.646435546875,-48.78102798461914,658.9179973940934,-48.7867086777153
1726839652.29096,657.3502197265625,-49.85183334350586,658.5528442382813,-49.08589553833008,658.3081871784892,-49.260276546098986
1726839652.3260977,658.8447265625,-48.74446487426758,658.6034545898438,-49.09070358276367,658.4895418631719,-49.12571150243009
1726839652.3587577,657.4409790039062,-50.164188385009766,658.35908203125,-49.32119979858398,658.0356414630162,-49.61051657922156
